Supplier_ID,Supplier_Name,Supplier_Location,Supplier_Category,Contact_Person,Contact_Email,Contact_Phone,Product_ID,Product_Name,Warehouse_ID,Warehouse_Location,Average_Lead_Time,On_Time_Delivery_Rate,Delivery_Accuracy,Damage_Rate,Shipment_Variability,Freight_Cost_Per_Shipment,Restocking_Frequency,Defect_Rate,Quality_Rating,Return_Rate,Compliance_Score,Sustainability_Score,Unit_Cost,Bulk_Discount_Rate,Payment_Term,Average_Invoice_Value,Credit_Score,Collaboration_Level,Dispute_Count,Resolution_Time_Avg,Satisfaction_Score,Loyalty_Score,Overall_Performance_Score,Risk_Score,Ranking,Last_Performance_Review,Cluster,Cluster_Name
SUP7,Supplier 95,Surabaya,Sportswear,Contact 314,supplier2@supplier.com,+62-812-8407,PROD7143,Product 652,WH24,Surabaya,21,83.64,97.64,2.42,4.99,259378.94,4,3.03,4.82,1.2,78.8,3.58,528232.06,8.38,Upfront Payment,3934620.74,625,Preferred Vendor,4,8.69,3.84,4.62,3.52,0.42,25,2022-06-24,2,"Low Cost, Efficient Supplier"
SUP16,Supplier 84,Bandung,Accessories,Contact 33,supplier78@supplier.com,+62-812-5507,PROD9422,Product 961,WH42,Jakarta,27,86.25,93.08,3.83,2.29,113412.17,10,1.35,4.48,1.12,81.53,4.4,145261.57,3.11,Upfront Payment,3522209.88,810,Transactional,1,10.99,4.06,3.59,3.67,0.13,9,2020-07-19,2,"Low Cost, Efficient Supplier"
SUP73,Supplier 88,Bali,Accessories,Contact 476,supplier22@supplier.com,+62-812-5796,PROD5728,Product 264,WH33,Jakarta,12,97.58,94.86,4.38,4.09,103209.04,9,2.29,3.98,1.53,91.39,4.4,771714.32,17.58,Net 30,4544749.22,818,Strategic Partner,2,14.55,3.73,4.35,4.86,0.07,78,2022-11-12,2,"Low Cost, Efficient Supplier"
SUP82,Supplier 82,Jakarta,Sportswear,Contact 310,supplier71@supplier.com,+62-812-2813,PROD2537,Product 384,WH32,Surabaya,13,99.88,91.53,1.16,4.71,287992.13,4,3.62,4.64,1.39,80.44,4.69,964133.19,7.56,Net 30,2596319.86,763,Strategic Partner,9,1.01,3.23,3.48,3.65,0.24,23,2022-12-13,1,"Moderate Cost, Balanced Supplier"
SUP81,Supplier 31,Bali,Sportswear,Contact 470,supplier16@supplier.com,+62-812-6330,PROD6354,Product 518,WH48,Medan,16,98.66,91.1,3.92,2.66,395522.82,9,2.33,4.78,0.76,91.38,3.71,932076.11,12.73,Net 60,1715510.56,777,Strategic Partner,0,11.73,3.28,4.93,4.16,0.67,74,2021-03-30,2,"Low Cost, Efficient Supplier"
SUP75,Supplier 14,Surabaya,Footwear,Contact 41,supplier80@supplier.com,+62-812-3218,PROD8676,Product 921,WH35,Bali,1,93.68,98.82,2.87,0.96,155451.92,9,0.23,4.6,0.12,98.63,4.08,202745.42,18.98,Net 60,936989.33,847,Strategic Partner,6,3.82,3.39,4.22,4.88,0.07,92,2021-09-21,0,"High Invoice, High Cost Supplier"
SUP16,Supplier 99,Bali,Footwear,Contact 390,supplier4@supplier.com,+62-812-6174,PROD7098,Product 494,WH30,Medan,29,98.86,95.83,1.3,3.89,198182.57,8,4.09,4.93,0.18,90.99,3.13,365415.46,4.92,Upfront Payment,3236965.62,821,Preferred Vendor,1,5.82,3.96,4.37,3.18,0.04,54,2024-11-03,1,"Moderate Cost, Balanced Supplier"
SUP52,Supplier 59,Bandung,Footwear,Contact 234,supplier1@supplier.com,+62-812-4123,PROD2491,Product 170,WH42,Surabaya,5,88.54,99.61,4.76,4.22,195836.4,3,0.25,3.35,0.83,89.45,4.77,287998.87,19.04,Net 60,3564335.75,817,Strategic Partner,8,5.76,4.32,3.13,3.88,0.34,42,2023-06-04,0,"High Invoice, High Cost Supplier"
SUP41,Supplier 7,Jakarta,Sportswear,Contact 322,supplier10@supplier.com,+62-812-1154,PROD1743,Product 140,WH24,Bandung,21,88.1,90.88,4.15,0.74,166198.12,9,0.15,3.52,1.94,74.73,3.59,636542.27,3.02,Net 60,1351170.76,830,Transactional,1,14.21,3.94,4.56,4.85,0.66,35,2023-01-22,2,"Low Cost, Efficient Supplier"
SUP47,Supplier 11,Bandung,Accessories,Contact 102,supplier8@supplier.com,+62-812-8084,PROD5481,Product 441,WH29,Surabaya,25,96.22,99.43,1.45,3.58,257569.21,3,0.43,4.84,0.15,92.27,4.39,767383.84,7.27,Upfront Payment,2368594.92,800,Strategic Partner,2,14.79,3.44,3.01,3.35,0.62,29,2020-04-29,1,"Moderate Cost, Balanced Supplier"
